"habitat","position","substrate","shade","fishNotes","habitatExtra","substrateExtra","signal","lon","lat","trackedTime","shift","river","tagID","source","airTemp","cloud","precip","startTime","endTime","iso","streamNotes","isoTime","downstreamGPS","downstreamGain","upstreamGPS","upstreamGain"
"Run","Right",NA,"Fully shaded","","","Boulder,Rock,Sand",NA,-72.4599271666655,42.3812069999993,"2024-08-13 07:14:00","day","BUFFAM",18,"iPad",63,"Clear","No rain","04:16","09:26","BUFF202408130524EST HARR202408130510EST AMTH202408130516EST",NA,"05:10","Lat: 42.3808032 N Long: 72.4615415 W",80,"Lat: 42.3820586 N Long: 72.4585239 W",80
"Riffle","Right",NA,"Fully shaded","","","Rock,Sand",NA,-72.4599986666654,42.3812664999993,"2024-08-13 07:14:00","day","BUFFAM",14,"iPad",63,"Clear","No rain","04:16","09:26","BUFF202408130524EST HARR202408130510EST AMTH202408130516EST",NA,"05:10","Lat: 42.3808032 N Long: 72.4615415 W",80,"Lat: 42.3820586 N Long: 72.4585239 W",80
"Run","Center",NA,"Fully shaded","","","Boulder,Rock",NA,-72.4603509999988,42.3811311666659,"2024-08-13 07:16:00","day","HARRIS",20,"iPad",63,"Clear","No rain","04:16","09:26","BUFF202408130524EST HARR202408130510EST AMTH202408130516EST",NA,"05:10","Lat: 42.3808032 N Long: 72.4615415 W",80,"Lat: 42.3820586 N Long: 72.4585239 W",80
"Run","Center",NA,"Fully shaded","","","Granule,Rock,Boulder",NA,-72.4609526666654,42.3815118333326,"2024-08-13 07:18:00","day","AMETHYST",19,"iPad",63,"Clear","No rain","04:16","09:26","BUFF202408130524EST HARR202408130510EST AMTH202408130516EST",NA,"05:10","Lat: 42.3808032 N Long: 72.4615415 W",80,"Lat: 42.3820586 N Long: 72.4585239 W",80
"Run","Center",NA,"","","","Rock,Boulder,Sand",NA,-72.4584354999988,42.382068166666,"2024-08-13 08:23:00","day","BUFFAM",60,"iPad",63,"Clear","No rain","04:16","09:26","BUFF202408130524EST HARR202408130510EST AMTH202408130516EST",NA,"05:10","Lat: 42.3808032 N Long: 72.4615415 W",80,"Lat: 42.3820586 N Long: 72.4585239 W",80
"Run","Right",NA,"Fully shaded","","","Boulder,Rock",NA,-72.4600809999988,42.3811843333326,"2024-08-13 08:29:00","day","BUFFAM",18,"iPad",63,"Clear","No rain","04:16","09:26","BUFF202408130524EST HARR202408130510EST AMTH202408130516EST",NA,"05:10","Lat: 42.3808032 N Long: 72.4615415 W",80,"Lat: 42.3820586 N Long: 72.4585239 W",80
"Run","Center",NA,"Mostly shaded","","","Rock,Pebble,Sand",NA,-72.4599791666654,42.3811654999993,"2024-08-13 08:31:00","day","BUFFAM",14,"iPad",63,"Clear","No rain","04:16","09:26","BUFF202408130524EST HARR202408130510EST AMTH202408130516EST",NA,"05:10","Lat: 42.3808032 N Long: 72.4615415 W",80,"Lat: 42.3820586 N Long: 72.4585239 W",80
"Riffle","Left",NA,"Mostly shaded","","","Rock,Boulder",NA,-72.4603271666654,42.3811498333326,"2024-08-13 08:35:00","day","HARRIS",20,"iPad",63,"Clear","No rain","04:16","09:26","BUFF202408130524EST HARR202408130510EST AMTH202408130516EST",NA,"05:10","Lat: 42.3808032 N Long: 72.4615415 W",80,"Lat: 42.3820586 N Long: 72.4585239 W",80
"Riffle","Center",NA,"Fully shaded","","","Rock,Boulder",NA,-72.4607323333321,42.3813199999993,"2024-08-13 08:40:00","day","AMETHYST",19,"iPad",63,"Clear","No rain","04:16","09:26","BUFF202408130524EST HARR202408130510EST AMTH202408130516EST",NA,"05:10","Lat: 42.3808032 N Long: 72.4615415 W",80,"Lat: 42.3820586 N Long: 72.4585239 W",80
"Run","Center",NA,"Fully shaded","","","Rock,Sand",NA,-72.4584968333333,42.3821516666667,"2024-08-13 09:04:00","day","BUFFAM",60,"iPad",63,"Clear","No rain","04:16","09:26","BUFF202408130524EST HARR202408130510EST AMTH202408130516EST",NA,"05:10","Lat: 42.3808032 N Long: 72.4615415 W",80,"Lat: 42.3820586 N Long: 72.4585239 W",80
"Run","Right",NA,"Fully shaded","","","Boulder,Rock",NA,-72.4598835,42.3813155,"2024-08-13 09:09:00","day","BUFFAM",18,"iPad",63,"Clear","No rain","04:16","09:26","BUFF202408130524EST HARR202408130510EST AMTH202408130516EST",NA,"05:10","Lat: 42.3808032 N Long: 72.4615415 W",80,"Lat: 42.3820586 N Long: 72.4585239 W",80
"Run","Center",NA,"Mostly shaded","","","Rock,Pebble,Sand",NA,-72.4599428333333,42.3813406666667,"2024-08-13 09:10:00","day","BUFFAM",14,"iPad",63,"Clear","No rain","04:16","09:26","BUFF202408130524EST HARR202408130510EST AMTH202408130516EST",NA,"05:10","Lat: 42.3808032 N Long: 72.4615415 W",80,"Lat: 42.3820586 N Long: 72.4585239 W",80
"Run","Left",NA,"Mostly shaded","","","Boulder,Rock",NA,-72.4602966666667,42.3812325,"2024-08-13 09:12:00","day","HARRIS",20,"iPad",63,"Clear","No rain","04:16","09:26","BUFF202408130524EST HARR202408130510EST AMTH202408130516EST",NA,"05:10","Lat: 42.3808032 N Long: 72.4615415 W",80,"Lat: 42.3820586 N Long: 72.4585239 W",80
"Riffle","Center",NA,"Fully shaded","","","Rock,Pebble,Boulder",NA,-72.4608826666667,42.3814776666667,"2024-08-13 09:16:00","day","AMETHYST",19,"iPad",63,"Clear","No rain","04:16","09:26","BUFF202408130524EST HARR202408130510EST AMTH202408130516EST",NA,"05:10","Lat: 42.3808032 N Long: 72.4615415 W",80,"Lat: 42.3820586 N Long: 72.4585239 W",80
"Pool","Center",NA,"Mostly shaded","","Woody_debris","Pebble,Rock,Granule,Boulder",NA,-72.4585245,42.3821026666667,"2024-08-13 13:14:00","night","BUFFAM",60,"iPad",79,"Partly cloudy/partly sunny","No rain","13:07","19:02","BUFF202408131516EST, AMTH202408131520EST, HARR202408131523EST",NA,"15:16","42.3802433, 72.4651203",75,"HARR 42.3803763, 72.4535804;  BUFF 42.3836141, 72.4561609",75
"Pool","Center",NA,"Mostly shaded","","","Rock,Boulder,Pebble",NA,-72.4598511666667,42.3812926666667,"2024-08-13 13:23:00","night","BUFFAM",18,"iPad",79,"Partly cloudy/partly sunny","No rain","13:07","19:02","BUFF202408131516EST, AMTH202408131520EST, HARR202408131523EST",NA,"15:16","42.3802433, 72.4651203",75,"HARR 42.3803763, 72.4535804;  BUFF 42.3836141, 72.4561609",75
"Pool","Center",NA,"Mostly shaded","","","Pebble,Rock,Boulder,Granule",NA,-72.4599185,42.3813683333333,"2024-08-13 13:25:00","night","BUFFAM",14,"iPad",79,"Partly cloudy/partly sunny","No rain","13:07","19:02","BUFF202408131516EST, AMTH202408131520EST, HARR202408131523EST",NA,"15:16","42.3802433, 72.4651203",75,"HARR 42.3803763, 72.4535804;  BUFF 42.3836141, 72.4561609",75
"Riffle","Center",NA,"Mostly shaded","","Woody_debris","Granule,Pebble,Rock",NA,-72.4602133333333,42.381303,"2024-08-13 13:35:00","night","HARRIS",20,"iPad",79,"Partly cloudy/partly sunny","No rain","13:07","19:02","BUFF202408131516EST, AMTH202408131520EST, HARR202408131523EST",NA,"15:16","42.3802433, 72.4651203",75,"HARR 42.3803763, 72.4535804;  BUFF 42.3836141, 72.4561609",75
"Pool","Center",NA,"Lightly shaded","","","Pebble,Rock,Granule",NA,-72.4607086666667,42.3815361666667,"2024-08-13 13:42:00","night","AMETHYST",19,"iPad",79,"Partly cloudy/partly sunny","No rain","13:07","19:02","BUFF202408131516EST, AMTH202408131520EST, HARR202408131523EST",NA,"15:16","42.3802433, 72.4651203",75,"HARR 42.3803763, 72.4535804;  BUFF 42.3836141, 72.4561609",75
"Pool","Center",NA,"Lightly shaded","","","Pebble,Rock,Granule,Boulder",NA,-72.4608134999988,42.3815644999993,"2024-08-13 14:14:00","night","AMETHYST",19,"iPad",79,"Partly cloudy/partly sunny","No rain","13:07","19:02","BUFF202408131516EST, AMTH202408131520EST, HARR202408131523EST",NA,"15:16","42.3802433, 72.4651203",75,"HARR 42.3803763, 72.4535804;  BUFF 42.3836141, 72.4561609",75
"Riffle","Right",NA,"Mostly shaded","","Woody_debris","Pebble,Rock,Granule",NA,-72.4602168333333,42.3811703333333,"2024-08-13 14:19:00","night","HARRIS",20,"iPad",79,"Partly cloudy/partly sunny","No rain","13:07","19:02","BUFF202408131516EST, AMTH202408131520EST, HARR202408131523EST",NA,"15:16","42.3802433, 72.4651203",75,"HARR 42.3803763, 72.4535804;  BUFF 42.3836141, 72.4561609",75
"Pool","Left",NA,"Mostly shaded","","","Pebble,Rock,Boulder",NA,-72.4600065,42.381263,"2024-08-13 14:23:00","night","BUFFAM",14,"iPad",79,"Partly cloudy/partly sunny","No rain","13:07","19:02","BUFF202408131516EST, AMTH202408131520EST, HARR202408131523EST",NA,"15:16","42.3802433, 72.4651203",75,"HARR 42.3803763, 72.4535804;  BUFF 42.3836141, 72.4561609",75
"Pool","Center",NA,"Mostly shaded","","","Granule,Pebble,Rock",NA,-72.4599536666667,42.3812878333333,"2024-08-13 14:27:00","night","BUFFAM",18,"iPad",79,"Partly cloudy/partly sunny","No rain","13:07","19:02","BUFF202408131516EST, AMTH202408131520EST, HARR202408131523EST",NA,"15:16","42.3802433, 72.4651203",75,"HARR 42.3803763, 72.4535804;  BUFF 42.3836141, 72.4561609",75
"Pool","Right",NA,"Mostly shaded","","","Pebble,Rock,Boulder",NA,-72.4578573333334,42.3806116666667,"2024-08-13 14:37:00","night","HARRIS",62,"iPad",79,"Partly cloudy/partly sunny","No rain","13:07","19:02","BUFF202408131516EST, AMTH202408131520EST, HARR202408131523EST",NA,"15:16","42.3802433, 72.4651203",75,"HARR 42.3803763, 72.4535804;  BUFF 42.3836141, 72.4561609",75
"Pool","Center",NA,"Mostly shaded","","Woody_debris","Pebble,Rock,Boulder",NA,-72.460346,42.38114,"2024-08-13 15:09:00","night","HARRIS",20,"iPad",79,"Partly cloudy/partly sunny","No rain","13:07","19:02","BUFF202408131516EST, AMTH202408131520EST, HARR202408131523EST",NA,"15:16","42.3802433, 72.4651203",75,"HARR 42.3803763, 72.4535804;  BUFF 42.3836141, 72.4561609",75
"Pool","Center",NA,"Mostly shaded","","Woody_debris","Pebble,Rock,Boulder",NA,-72.4585425,42.382118,"2024-08-13 15:54:00","night","BUFFAM",60,"iPad",79,"Partly cloudy/partly sunny","No rain","13:07","19:02","BUFF202408131516EST, AMTH202408131520EST, HARR202408131523EST",NA,"15:16","42.3802433, 72.4651203",75,"HARR 42.3803763, 72.4535804;  BUFF 42.3836141, 72.4561609",75
"Pool","Center",NA,"Mostly shaded","","","Pebble,Rock,Boulder",NA,-72.4575611666667,42.3806196666667,"2024-08-13 16:13:00","night","HARRIS",62,"iPad",79,"Partly cloudy/partly sunny","No rain","13:07","19:02","BUFF202408131516EST, AMTH202408131520EST, HARR202408131523EST",NA,"15:16","42.3802433, 72.4651203",75,"HARR 42.3803763, 72.4535804;  BUFF 42.3836141, 72.4561609",75
"Pool","Center",NA,"Mostly shaded","","","Granule,Rock,Pebble,Boulder",NA,-72.4598895,42.3812495,"2024-08-13 16:18:00","night","BUFFAM",18,"iPad",79,"Partly cloudy/partly sunny","No rain","13:07","19:02","BUFF202408131516EST, AMTH202408131520EST, HARR202408131523EST",NA,"15:16","42.3802433, 72.4651203",75,"HARR 42.3803763, 72.4535804;  BUFF 42.3836141, 72.4561609",75
"Pool","Center",NA,"Mostly shaded","","","Pebble,Rock,Boulder",NA,-72.4599248333333,42.3811843333333,"2024-08-13 16:18:00","night","BUFFAM",14,"iPad",79,"Partly cloudy/partly sunny","No rain","13:07","19:02","BUFF202408131516EST, AMTH202408131520EST, HARR202408131523EST",NA,"15:16","42.3802433, 72.4651203",75,"HARR 42.3803763, 72.4535804;  BUFF 42.3836141, 72.4561609",75
"Pool","Center",NA,"Lightly shaded","","Woody_debris","Pebble,Rock,Boulder",NA,-72.4603563333333,42.38106,"2024-08-13 16:21:00","night","HARRIS",20,"iPad",79,"Partly cloudy/partly sunny","No rain","13:07","19:02","BUFF202408131516EST, AMTH202408131520EST, HARR202408131523EST",NA,"15:16","42.3802433, 72.4651203",75,"HARR 42.3803763, 72.4535804;  BUFF 42.3836141, 72.4561609",75
"Pool","Center",NA,"Lightly shaded","","","Pebble,Rock,Granule",NA,-72.4610111666667,42.3814265,"2024-08-13 16:25:00","night","AMETHYST",19,"iPad",79,"Partly cloudy/partly sunny","No rain","13:07","19:02","BUFF202408131516EST, AMTH202408131520EST, HARR202408131523EST",NA,"15:16","42.3802433, 72.4651203",75,"HARR 42.3803763, 72.4535804;  BUFF 42.3836141, 72.4561609",75
"Pool","Center",NA,"Mostly shaded","","Woody_debris","Pebble,Rock,Boulder",NA,-72.458481,42.3819315,"2024-08-13 18:22:00","night","BUFFAM",60,"iPad",79,"Partly cloudy/partly sunny","No rain","13:07","19:02","BUFF202408131516EST, AMTH202408131520EST, HARR202408131523EST",NA,"15:16","42.3802433, 72.4651203",75,"HARR 42.3803763, 72.4535804;  BUFF 42.3836141, 72.4561609",75
"Pool","Center",NA,"Mostly shaded","","","Pebble,Rock,Boulder",188,-72.4578795,42.3805538333333,"2024-08-13 18:32:00","night","HARRIS",62,"iPad",79,"Partly cloudy/partly sunny","No rain","13:07","19:02","BUFF202408131516EST, AMTH202408131520EST, HARR202408131523EST",NA,"15:16","42.3802433, 72.4651203",75,"HARR 42.3803763, 72.4535804;  BUFF 42.3836141, 72.4561609",75
"Pool","Right",NA,"Fully shaded","","","Rock,Boulder,Pebble",NA,-72.4599438333333,42.3812705,"2024-08-13 18:38:00","night","BUFFAM",18,"iPad",79,"Partly cloudy/partly sunny","No rain","13:07","19:02","BUFF202408131516EST, AMTH202408131520EST, HARR202408131523EST",NA,"15:16","42.3802433, 72.4651203",75,"HARR 42.3803763, 72.4535804;  BUFF 42.3836141, 72.4561609",75
"Run","Center",NA,"Fully shaded","","","Rock,Boulder",NA,-72.459946,42.3812666666667,"2024-08-13 18:44:00","night","BUFFAM",14,"iPad",79,"Partly cloudy/partly sunny","No rain","13:07","19:02","BUFF202408131516EST, AMTH202408131520EST, HARR202408131523EST",NA,"15:16","42.3802433, 72.4651203",75,"HARR 42.3803763, 72.4535804;  BUFF 42.3836141, 72.4561609",75
"Pool","Right",NA,"Mostly shaded","Consistently got 180 ","Woody_debris","Rock,Boulder",182,-72.4603668333333,42.381123,"2024-08-13 18:50:00","night","HARRIS",20,"iPad",79,"Partly cloudy/partly sunny","No rain","13:07","19:02","BUFF202408131516EST, AMTH202408131520EST, HARR202408131523EST",NA,"15:16","42.3802433, 72.4651203",75,"HARR 42.3803763, 72.4535804;  BUFF 42.3836141, 72.4561609",75
"Riffle","Center",NA,"Night","","","Boulder",NA,-72.4608818333333,42.3814685,"2024-08-13 18:54:00","night","AMETHYST",19,"iPad",79,"Partly cloudy/partly sunny","No rain","13:07","19:02","BUFF202408131516EST, AMTH202408131520EST, HARR202408131523EST",NA,"15:16","42.3802433, 72.4651203",75,"HARR 42.3803763, 72.4535804;  BUFF 42.3836141, 72.4561609",75
"Riffle","Right",NA,"Night","","","Pebble,Sand,Rock",NA,-72.3264783333333,42.445399,"2024-08-14 04:27:00","day","UNDERHILL",33,"iPad",58,"Clear","No rain","04:08","09:23","UNDH202408140454EST",NA,"04:54","Lat: 42.4368660 N Long: 72.3214536 W",75,"Lat: 42.4438604 N Long: 72.3296500 W",75
"Run","Center",NA,"Night","","","Pebble,Sand,Rock",NA,-72.3278371666667,42.4451443333333,"2024-08-14 04:36:00","day","UNDERHILL",45,"iPad",58,"Clear","No rain","04:08","09:23","UNDH202408140454EST",NA,"04:54","Lat: 42.4368660 N Long: 72.3214536 W",75,"Lat: 42.4438604 N Long: 72.3296500 W",75
"Run","Right",NA,"Night","","","Sand,Rock,Boulder",NA,-72.3280105,42.4448988333333,"2024-08-14 04:41:00","day","UNDERHILL",44,"iPad",58,"Clear","No rain","04:08","09:23","UNDH202408140454EST",NA,"04:54","Lat: 42.4368660 N Long: 72.3214536 W",75,"Lat: 42.4438604 N Long: 72.3296500 W",75
"Pool","Right",NA,"Night","","","Sand,Rock,Boulder",NA,-72.329612,42.4436338333333,"2024-08-14 04:48:00","day","UNDERHILL",35,"iPad",58,"Clear","No rain","04:08","09:23","UNDH202408140454EST",NA,"04:54","Lat: 42.4368660 N Long: 72.3214536 W",75,"Lat: 42.4438604 N Long: 72.3296500 W",75
"Pool","Right",NA,"Fully shaded","","","Boulder,Rock,Sand",NA,-72.3295523333334,42.4437061666667,"2024-08-14 05:16:00","day","UNDERHILL",35,"iPad",58,"Clear","No rain","04:08","09:23","UNDH202408140454EST",NA,"04:54","Lat: 42.4368660 N Long: 72.3214536 W",75,"Lat: 42.4438604 N Long: 72.3296500 W",75
"Run","Right",NA,"Fully shaded","","","Sand,Rock,Boulder",NA,-72.3279111666667,42.4449138333333,"2024-08-14 05:33:00","day","UNDERHILL",44,"iPad",58,"Clear","No rain","04:08","09:23","UNDH202408140454EST",NA,"04:54","Lat: 42.4368660 N Long: 72.3214536 W",75,"Lat: 42.4438604 N Long: 72.3296500 W",75
"Run","Center",NA,"Fully shaded","","","Sand,Rock",NA,-72.3277763333333,42.445147,"2024-08-14 05:36:00","day","UNDERHILL",45,"iPad",58,"Clear","No rain","04:08","09:23","UNDH202408140454EST",NA,"04:54","Lat: 42.4368660 N Long: 72.3214536 W",75,"Lat: 42.4438604 N Long: 72.3296500 W",75
"Pool","Center",NA,"Fully shaded","","","Sand,Rock",NA,-72.3263363333333,42.445315,"2024-08-14 05:50:00","day","UNDERHILL",33,"iPad",58,"Clear","No rain","04:08","09:23","UNDH202408140454EST",NA,"04:54","Lat: 42.4368660 N Long: 72.3214536 W",75,"Lat: 42.4438604 N Long: 72.3296500 W",75
"Run","Center",NA,"Fully shaded","","","Sand,Rock",NA,-72.326481,42.4453408333333,"2024-08-14 07:07:00","day","UNDERHILL",33,"iPad",58,"Clear","No rain","04:08","09:23","UNDH202408140454EST",NA,"04:54","Lat: 42.4368660 N Long: 72.3214536 W",75,"Lat: 42.4438604 N Long: 72.3296500 W",75
"Pool","Left",NA,"Fully shaded","","","Sand,Rock,Boulder",NA,-72.3278583333333,42.4451998333333,"2024-08-14 07:11:00","day","UNDERHILL",45,"iPad",58,"Clear","No rain","04:08","09:23","UNDH202408140454EST",NA,"04:54","Lat: 42.4368660 N Long: 72.3214536 W",75,"Lat: 42.4438604 N Long: 72.3296500 W",75
"Run","Right",NA,"Fully shaded","","","Sand,Rock",NA,-72.3280028333333,42.4450198333333,"2024-08-14 07:17:00","day","UNDERHILL",44,"iPad",58,"Clear","No rain","04:08","09:23","UNDH202408140454EST",NA,"04:54","Lat: 42.4368660 N Long: 72.3214536 W",75,"Lat: 42.4438604 N Long: 72.3296500 W",75
"Pool","Right",NA,"Fully shaded","","","Sand,Rock,Boulder",NA,-72.329624,42.4437041666667,"2024-08-14 07:29:00","day","UNDERHILL",35,"iPad",58,"Clear","No rain","04:08","09:23","UNDH202408140454EST",NA,"04:54","Lat: 42.4368660 N Long: 72.3214536 W",75,"Lat: 42.4438604 N Long: 72.3296500 W",75
"Pool","Right",NA,"Fully shaded","","","Rock,Boulder,Sand",NA,-72.3295101666667,42.443603,"2024-08-14 07:56:00","day","UNDERHILL",35,"iPad",58,"Clear","No rain","04:08","09:23","UNDH202408140454EST",NA,"04:54","Lat: 42.4368660 N Long: 72.3214536 W",75,"Lat: 42.4438604 N Long: 72.3296500 W",75
"Run","Right",NA,"Fully shaded","","","Rock,Boulder",NA,-72.3279323333333,42.4448113333333,"2024-08-14 08:10:00","day","UNDERHILL",44,"iPad",58,"Clear","No rain","04:08","09:23","UNDH202408140454EST",NA,"04:54","Lat: 42.4368660 N Long: 72.3214536 W",75,"Lat: 42.4438604 N Long: 72.3296500 W",75
"Run","Left",NA,"Fully shaded","","","Rock,Boulder,Sand",NA,-72.327846,42.445207,"2024-08-14 08:17:00","day","UNDERHILL",45,"iPad",58,"Clear","No rain","04:08","09:23","UNDH202408140454EST",NA,"04:54","Lat: 42.4368660 N Long: 72.3214536 W",75,"Lat: 42.4438604 N Long: 72.3296500 W",75
"Run","Center",NA,"Fully shaded","","","Sand,Rock,Pebble",NA,-72.3263383333333,42.4453601666667,"2024-08-14 08:23:00","day","UNDERHILL",33,"iPad",58,"Clear","No rain","04:08","09:23","UNDH202408140454EST",NA,"04:54","Lat: 42.4368660 N Long: 72.3214536 W",75,"Lat: 42.4438604 N Long: 72.3296500 W",75
"Run","Center",NA,"Fully shaded","","","Sand,Rock,Pebble",NA,-72.326389,42.4454848333333,"2024-08-14 09:01:00","day","UNDERHILL",33,"iPad",58,"Clear","No rain","04:08","09:23","UNDH202408140454EST",NA,"04:54","Lat: 42.4368660 N Long: 72.3214536 W",75,"Lat: 42.4438604 N Long: 72.3296500 W",75
"Run","Center",NA,"Mostly shaded","","","Sand,Rock,Boulder",NA,-72.327832,42.445328,"2024-08-14 09:08:00","day","UNDERHILL",45,"iPad",58,"Clear","No rain","04:08","09:23","UNDH202408140454EST",NA,"04:54","Lat: 42.4368660 N Long: 72.3214536 W",75,"Lat: 42.4438604 N Long: 72.3296500 W",75
"Run","Center",NA,"Mostly shaded","","","Sand,Rock,Pebble",NA,-72.328131,42.4450456666667,"2024-08-14 09:14:00","day","UNDERHILL",44,"iPad",58,"Clear","No rain","04:08","09:23","UNDH202408140454EST",NA,"04:54","Lat: 42.4368660 N Long: 72.3214536 W",75,"Lat: 42.4438604 N Long: 72.3296500 W",75
