"habitat","position","substrate","shade","fishNotes","habitatExtra","substrateExtra","signal","lon","lat","trackedTime","shift","river","tagID","source"
"Pool","Left",NA,"Mostly shaded","","","Rock",NA,-72.3681961666667,42.4416268333333,"2024-07-01 15:41:00","night","DICKEY",38,"iPad"
"Pool","Left",NA,"Lightly shaded","","","Rock",NA,-72.3710193333333,42.4438593333333,"2024-07-01 16:26:00","night","DICKEY",31,"iPad"
"Pool","Center",NA,"Mostly shaded","","","Rock",NA,-72.3706051666667,42.4435503333333,"2024-07-01 16:30:00","night","DICKEY",28,"iPad"
"Glide","Center",NA,"Mostly shaded","","","Rock,Pebble",NA,-72.3704073333333,42.4435503333333,"2024-07-01 16:32:00","night","DICKEY",26,"iPad"
"Run","Right",NA,"Fully shaded","","","Rock",NA,-72.3703741666667,42.4435521666667,"2024-07-01 16:33:00","night","DICKEY",32,"iPad"
"Run","Center",NA,"Mostly shaded","","","Rock",NA,-72.3704483333333,42.443585,"2024-07-01 16:33:00","night","DICKEY",37,"iPad"
"Pool","Center",NA,"Mostly shaded","","","Rock",NA,-72.3682266666667,42.4415981666667,"2024-07-01 16:41:00","night","DICKEY",38,"iPad"
"Pool","Center",NA,"Lightly shaded","","","Rock",NA,-72.3709211666667,42.4438806666667,"2024-07-01 17:21:00","night","DICKEY",31,"iPad"
"Pool","Center",NA,"Mostly shaded","","","Rock",NA,-72.3705758333333,42.4436681666667,"2024-07-01 17:24:00","night","DICKEY",28,"iPad"
"Glide","Center",NA,"Mostly shaded","","","Rock",NA,-72.3704061666667,42.4436003333333,"2024-07-01 17:25:00","night","DICKEY",26,"iPad"
"Run","Right",NA,"Mostly shaded","","","Rock",NA,-72.3704426666667,42.44363,"2024-07-01 17:27:00","night","DICKEY",32,"iPad"
"Run","Center",NA,"Fully shaded","","","Rock",NA,-72.370485,42.4437161666667,"2024-07-01 17:28:00","night","DICKEY",37,"iPad"
"Pool","Center",NA,"Fully shaded","","","Pebble,Rock",NA,-72.3684013333333,42.4416456666667,"2024-07-01 17:36:00","night","DICKEY",38,"iPad"
"Pool","Center",NA,"Night","","","Rock",NA,-72.458467,42.3821811666667,"2024-07-02 03:31:00","day","BUFFAM",60,"iPad"
"Pool","Center",NA,"Night","","","Rock,Pebble",NA,-72.4597638333333,42.3812111666667,"2024-07-02 03:44:00","day","BUFFAM",57,"iPad"
"Pool","Center",NA,"Night","","","Rock,Pebble",NA,-72.4597551666667,42.3811755,"2024-07-02 03:45:00","day","BUFFAM",62,"iPad"
"Riffle","Left",NA,"Night","","","Rock",NA,-72.4599663333333,42.3812828333333,"2024-07-02 03:53:00","day","BUFFAM",19,"iPad"
"Riffle","Left",NA,"Night","","","Rock",NA,-72.4599371666667,42.3813491666667,"2024-07-02 03:54:00","day","BUFFAM",18,"iPad"
"Riffle","Center",NA,"Night","","","Rock",NA,-72.459926,42.3811916666667,"2024-07-02 04:06:00","day","BUFFAM",14,"iPad"
"Pool","Left",NA,"","","Woody_debris","Rock",NA,-72.4602166666667,42.3812501666667,"2024-07-02 04:11:00","day","BUFFAM",56,"iPad"
"Pool","Center",NA,"","","","Rock",NA,-72.4603738333333,42.3811118333333,"2024-07-02 04:17:00","day","HARRIS",20,"iPad"
