"habitat","position","substrate","shade","fishNotes","habitatExtra","substrateExtra","signal","lon","lat","dateTime","shift","river","tagID","source"
"Pool","Right",NA,"Mostly shaded","","","Pebble,Sand",NA,-72.3706165,42.443653,"2024-07-10 17:23:00","night","DICKEY",28,"iPad"
"Run","Center",NA,"Mostly shaded","","","Rock",NA,-72.3703045,42.4436481666667,"2024-07-10 17:25:00","night","DICKEY",26,"iPad"
"Pool","Center",NA,"Fully shaded","","","Rock,Pebble",NA,-72.3703955,42.4435345,"2024-07-10 17:26:00","night","DICKEY",37,"iPad"
"Pool","Left",NA,"Fully shaded","","Root_bundle","Rock,Mud",NA,-72.369991,42.4430391666667,"2024-07-10 17:32:00","night","DICKEY",38,"iPad"
"Run","Left",NA,"Mostly shaded","","","Pebble,Rock",NA,-72.3735113333333,42.4439926666667,"2024-07-10 18:16:00","night","DICKEY",32,"iPad"
"Glide","Right",NA,"Fully shaded","","","Rock",NA,-72.3711001666667,42.443997,"2024-07-10 18:34:00","night","DICKEY",31,"iPad"
"Pool","Right",NA,"Mostly shaded","Still in the same spot presumed dead.","","Pebble,Rock",NA,-72.3706138333333,42.4436275,"2024-07-10 18:37:00","night","DICKEY",28,"iPad"
"Run","Center",NA,"Fully shaded","","","Rock",NA,-72.3703623333333,42.4436033333333,"2024-07-10 18:42:00","night","DICKEY",26,"iPad"
"Pool","Center",NA,"Fully shaded","","","Rock,Boulder",NA,-72.3703105,42.4435191666667,"2024-07-10 18:43:00","night","DICKEY",37,"iPad"
"Pool","Left",NA,"Fully shaded","","","Rock,Mud",NA,-72.3698843333333,42.4431896666667,"2024-07-10 18:51:00","night","DICKEY",38,"iPad"
"Pool","Left",NA,"Fully shaded","","","Pebble,Rock",NA,-72.3733833333333,42.443966,"2024-07-10 19:07:00","night","DICKEY",32,"iPad"
"Glide","Right",NA,"Night","","","Rock",NA,-72.371039,42.4439041666667,"2024-07-10 19:38:00","night","DICKEY",31,"iPad"
"Pool","Right",NA,"Night","","","Pebble",NA,-72.3705623333333,42.443673,"2024-07-10 19:44:00","night","DICKEY",28,"iPad"
"Run","Center",NA,"Night","","","Rock",NA,-72.370348,42.4436173333333,"2024-07-10 19:57:00","night","DICKEY",26,"iPad"
"Riffle","Center",NA,"Night","","","Rock,Pebble",NA,-72.370233,42.4434511666667,"2024-07-10 20:00:00","night","DICKEY",37,"iPad"
"Run","Left",NA,"Night","","Root_bundle","Rock",NA,-72.3699543333333,42.4429703333333,"2024-07-10 20:03:00","night","DICKEY",38,"iPad"
"Run","Left",NA,"Night","","","Rock,Pebble",NA,-72.3734335,42.4439758333333,"2024-07-10 20:19:00","night","DICKEY",32,"iPad"
"Run","Center",NA,"Night","","","Pebble,Rock",189,-72.3733585,42.4439248333333,"2024-07-10 21:26:00","night","DICKEY",32,"iPad"
"Riffle","Center",NA,"Night","","","Rock,Pebble",NA,-72.3712161666667,42.4439961666667,"2024-07-10 21:42:00","night","DICKEY",31,"iPad"
"Pool","Center",NA,"Night","","","Rock,Pebble",NA,-72.3706656666667,42.4436866666667,"2024-07-10 21:47:00","night","DICKEY",28,"iPad"
"Run","Center",NA,"Night","","","Rock,Boulder",NA,-72.3702983333333,42.4435081666667,"2024-07-10 21:49:00","night","DICKEY",26,"iPad"
"Run","Center",NA,"Night","","","Rock,Boulder",NA,-72.3702581666667,42.4435818333333,"2024-07-10 21:51:00","night","DICKEY",37,"iPad"
"Run","Left",NA,"Night","","","Rock,Boulder,Sand",NA,-72.3698661666667,42.4430138333333,"2024-07-10 21:58:00","night","DICKEY",38,"iPad"
"Run","Right",NA,"Night","","","Rock,Pebble",NA,-72.3711701666667,42.4439823333333,"2024-07-10 22:28:00","night","DICKEY",31,"iPad"
"Pool","Center",NA,"Night","","","Rock,Pebble",NA,-72.3706901666667,42.4437548333333,"2024-07-10 22:32:00","night","DICKEY",28,"iPad"
"Run","Center",NA,"Night","","","Rock",NA,-72.3703811666667,42.4436205,"2024-07-10 22:34:00","night","DICKEY",26,"iPad"
"Pool","Left",NA,"Night","","","Sand,Rock",NA,-72.3703345,42.4436321666667,"2024-07-10 22:35:00","night","DICKEY",37,"iPad"
"Run","Left",NA,"Night","","","Sand,Rock",NA,-72.3699515,42.4430656666667,"2024-07-10 22:39:00","night","DICKEY",38,"iPad"
"Glide","Center",NA,"Fully shaded","","","Rock",NA,-72.4583295,42.3820318333333,"2024-07-11 07:46:00","day","AMETHYST",60,"iPad"
"Pool","Right",NA,"Fully shaded","","","Boulder,Rock",NA,-72.4597551666667,42.381195,"2024-07-11 08:02:00","day","AMETHYST",56,"iPad"
"Pool","Right",NA,"Fully shaded","","","Rock",NA,-72.4598425,42.3812083333333,"2024-07-11 08:02:00","day","AMETHYST",57,"iPad"
"Riffle","Center",NA,"Fully shaded","","","Rock",NA,-72.459736,42.3812571666667,"2024-07-11 08:05:00","day","AMETHYST",62,"iPad"
"Riffle","Center",NA,"Fully shaded","","","Rock",NA,-72.4599645,42.3811331666667,"2024-07-11 08:07:00","day","AMETHYST",18,"iPad"
"Riffle","Center",NA,"Fully shaded","","","Rock",NA,-72.4599776666667,42.3811478333333,"2024-07-11 08:08:00","day","AMETHYST",19,"iPad"
"Riffle","Left",NA,"Fully shaded","","","Rock",NA,-72.4599686666667,42.3812331666667,"2024-07-11 08:08:00","day","AMETHYST",14,"iPad"
"Run","Center",NA,"Fully shaded","","","Boulder",NA,-72.4602128333333,42.3810206666667,"2024-07-11 08:12:00","day","AMETHYST",20,"iPad"
"Riffle","Center",NA,"Fully shaded","","","Boulder",NA,-72.4584748333333,42.3820963333333,"2024-07-11 09:27:00","day","AMETHYST",60,"iPad"
"Pool","Center",NA,"Fully shaded","","","Boulder",NA,-72.4598398333333,42.3812335,"2024-07-11 09:32:00","day","AMETHYST",62,"iPad"
"Pool","Center",NA,"Fully shaded","","","Boulder",NA,-72.4598358333333,42.3812936666667,"2024-07-11 09:33:00","day","AMETHYST",56,"iPad"
"Pool","Center",NA,"Fully shaded","","","Boulder",NA,-72.4598481666667,42.3812721666667,"2024-07-11 09:33:00","day","AMETHYST",57,"iPad"
"Riffle","Right",NA,"Fully shaded","","","Rock",NA,-72.4598886666667,42.3811935,"2024-07-11 09:34:00","day","AMETHYST",18,"iPad"
"Riffle","",NA,"Fully shaded","","","Rock",NA,-72.4599461666667,42.3811926666667,"2024-07-11 09:34:00","day","AMETHYST",19,"iPad"
"Riffle","Left",NA,"Mostly shaded","","","Rock",NA,-72.4599976666667,42.381233,"2024-07-11 09:35:00","day","AMETHYST",14,"iPad"
"Run","Center",NA,"Mostly shaded","","","Rock",NA,-72.4603595,42.3810713333333,"2024-07-11 09:36:00","day","AMETHYST",20,"iPad"
"Run","Center",NA,"Mostly shaded","","","Rock,Granule",NA,-72.4585848333333,42.3820113333333,"2024-07-11 10:37:00","day","AMETHYST",60,"iPad"
"Pool","Center",NA,"Fully shaded","","","Rock",NA,-72.4597588333333,42.3811346666667,"2024-07-11 11:04:00","day","AMETHYST",56,"iPad"
"Pool","Center",NA,"Fully shaded","","","Rock",NA,-72.459779,42.3811236666667,"2024-07-11 11:05:00","day","AMETHYST",62,"iPad"
"Pool","Center",NA,"Fully shaded","","","Rock",NA,-72.4597575,42.3811876666667,"2024-07-11 11:08:00","day","AMETHYST",57,"iPad"
"Run","Center",NA,"Fully shaded","","","Rock",NA,-72.4599165,42.3812803333333,"2024-07-11 11:09:00","day","AMETHYST",18,"iPad"
"Run","Center",NA,"Lightly shaded","","","Rock",NA,-72.459939,42.3813058333333,"2024-07-11 11:09:00","day","AMETHYST",19,"iPad"
"Run","Center",NA,"Mostly shaded","","","Rock",NA,-72.4599038333333,42.3813236666667,"2024-07-11 11:11:00","day","AMETHYST",14,"iPad"
"Pool","Center",NA,"Fully shaded","","","Rock",NA,-72.46038,42.3815073333333,"2024-07-11 11:15:00","day","AMETHYST",20,"iPad"
"Pool","Center",NA,"Lightly shaded","","","Rock",NA,-72.4597025,42.3810926666667,"2024-07-11 11:59:00","day","AMETHYST",57,"iPad"
"Pool","Center",NA,"Lightly shaded","","","Rock",NA,-72.4596821666667,42.3810283333333,"2024-07-11 12:00:00","day","AMETHYST",62,"iPad"
"Pool","Center",NA,"Mostly shaded","","","Rock,Sand",NA,-72.4597258333333,42.3812533333333,"2024-07-11 12:08:00","day","AMETHYST",56,"iPad"
"Run","Left",NA,"Fully shaded","","","Rock",NA,-72.460054,42.3812626666667,"2024-07-11 12:14:00","day","AMETHYST",18,"iPad"
"Run","Center",NA,"Mostly shaded","","","Rock",NA,-72.4598431666667,42.3813761666667,"2024-07-11 12:16:00","day","AMETHYST",14,"iPad"
"Run","Center",NA,"Fully shaded","","","Rock",NA,-72.4598378333333,42.3812716666667,"2024-07-11 12:17:00","day","AMETHYST",19,"iPad"
"Run","Center",NA,"Fully shaded","","","Rock",NA,-72.4602428333333,42.3814158333333,"2024-07-11 12:20:00","day","AMETHYST",20,"iPad"
"Riffle","Center",NA,"Fully shaded","","","Rock,Boulder",NA,-72.45842,42.3819908333333,"2024-07-11 12:24:00","day","AMETHYST",60,"iPad"
"Pool","Left",NA,"Fully shaded","","","Sand,Rock",NA,-72.4584763333333,42.3820738333333,"2024-07-11 17:31:00","night","AMETHYST",60,"iPad"
"Riffle","Right",NA,"Fully shaded","","","Rock",NA,-72.4596768333333,42.3810643333333,"2024-07-11 17:36:00","night","AMETHYST",62,"iPad"
"Pool","Center",NA,"Fully shaded","","","Sand,Boulder",NA,-72.4596568333333,42.3810135,"2024-07-11 17:38:00","night","AMETHYST",56,"iPad"
"Pool","Center",NA,"Fully shaded","","","Sand,Boulder",NA,-72.4597036666667,42.3811015,"2024-07-11 17:39:00","night","AMETHYST",57,"iPad"
