"date","trackedTime_EST","river","shift","radioID","power","lon","lat","source"
2024-06-11,2024-06-11 07:07:08,"AMETHYST","day",59,162,NA,NA,"receiver"
2024-06-11,2024-06-11 07:07:15,"AMETHYST","day",60,149,NA,NA,"receiver"
2024-06-11,2024-06-11 07:07:16,"AMETHYST","day",57,112,NA,NA,"receiver"
2024-06-11,2024-06-11 07:07:20,"AMETHYST","day",14,116,NA,NA,"receiver"
2024-06-11,2024-06-11 07:07:22,"AMETHYST","day",19,148,NA,NA,"receiver"
2024-06-11,2024-06-11 07:07:28,"AMETHYST","day",59,196,NA,NA,"receiver"
2024-06-11,2024-06-11 07:07:35,"AMETHYST","day",60,118,NA,NA,"receiver"
2024-06-11,2024-06-11 07:07:42,"AMETHYST","day",19,134,NA,NA,"receiver"
2024-06-11,2024-06-11 07:07:48,"AMETHYST","day",59,180,NA,NA,"receiver"
2024-06-11,2024-06-11 07:07:56,"AMETHYST","day",60,120,NA,NA,"receiver"
2024-06-11,2024-06-11 07:08:02,"AMETHYST","day",19,137,NA,NA,"receiver"
2024-06-11,2024-06-11 07:08:08,"AMETHYST","day",20,109,NA,NA,"receiver"
2024-06-11,2024-06-11 07:08:08,"AMETHYST","day",59,160,NA,NA,"receiver"
2024-06-11,2024-06-11 07:08:16,"AMETHYST","day",60,140,NA,NA,"receiver"
2024-06-11,2024-06-11 07:08:17,"AMETHYST","day",57,110,NA,NA,"receiver"
2024-06-11,2024-06-11 07:08:22,"AMETHYST","day",19,132,NA,NA,"receiver"
2024-06-11,2024-06-11 07:08:28,"AMETHYST","day",20,118,NA,NA,"receiver"
2024-06-11,2024-06-11 07:08:28,"AMETHYST","day",59,147,NA,NA,"receiver"
2024-06-11,2024-06-11 07:08:35,"AMETHYST","day",60,153,NA,NA,"receiver"
2024-06-11,2024-06-11 07:08:36,"AMETHYST","day",57,108,NA,NA,"receiver"
2024-06-11,2024-06-11 07:08:40,"AMETHYST","day",14,106,NA,NA,"receiver"
2024-06-11,2024-06-11 07:08:42,"AMETHYST","day",19,156,NA,NA,"receiver"
2024-06-11,2024-06-11 07:08:48,"AMETHYST","day",20,107,NA,NA,"receiver"
2024-06-11,2024-06-11 07:08:48,"AMETHYST","day",59,144,NA,NA,"receiver"
2024-06-11,2024-06-11 07:08:49,"AMETHYST","day",18,110,NA,NA,"receiver"
2024-06-11,2024-06-11 07:08:56,"AMETHYST","day",60,135,NA,NA,"receiver"
2024-06-11,2024-06-11 07:09:06,"AMETHYST","day",56,109,NA,NA,"receiver"
2024-06-11,2024-06-11 07:09:07,"AMETHYST","day",20,114,NA,NA,"receiver"
2024-06-11,2024-06-11 07:09:07,"AMETHYST","day",59,172,NA,NA,"receiver"
2024-06-11,2024-06-11 07:09:16,"AMETHYST","day",60,153,NA,NA,"receiver"
2024-06-11,2024-06-11 07:09:17,"AMETHYST","day",57,121,NA,NA,"receiver"
2024-06-11,2024-06-11 07:09:22,"AMETHYST","day",19,148,NA,NA,"receiver"
2024-06-11,2024-06-11 07:09:27,"AMETHYST","day",59,136,NA,NA,"receiver"
2024-06-11,2024-06-11 07:09:35,"AMETHYST","day",60,179,NA,NA,"receiver"
2024-06-11,2024-06-11 07:09:36,"AMETHYST","day",57,134,NA,NA,"receiver"
2024-06-11,2024-06-11 07:09:42,"AMETHYST","day",19,119,NA,NA,"receiver"
2024-06-11,2024-06-11 07:09:47,"AMETHYST","day",12,110,NA,NA,"receiver"
2024-06-11,2024-06-11 07:09:48,"AMETHYST","day",59,127,NA,NA,"receiver"
2024-06-11,2024-06-11 07:09:56,"AMETHYST","day",60,180,NA,NA,"receiver"
2024-06-11,2024-06-11 07:09:57,"AMETHYST","day",57,130,NA,NA,"receiver"
2024-06-11,2024-06-11 07:10:02,"AMETHYST","day",19,163,NA,NA,"receiver"
2024-06-11,2024-06-11 07:10:06,"AMETHYST","day",12,113,NA,NA,"receiver"
2024-06-11,2024-06-11 07:10:07,"AMETHYST","day",20,116,NA,NA,"receiver"
2024-06-11,2024-06-11 07:10:07,"AMETHYST","day",59,107,NA,NA,"receiver"
2024-06-11,2024-06-11 07:10:08,"AMETHYST","day",18,114,NA,NA,"receiver"
2024-06-11,2024-06-11 07:10:16,"AMETHYST","day",60,178,NA,NA,"receiver"
2024-06-11,2024-06-11 07:10:22,"AMETHYST","day",19,162,NA,NA,"receiver"
2024-06-11,2024-06-11 07:10:26,"AMETHYST","day",12,120,NA,NA,"receiver"
2024-06-11,2024-06-11 07:10:27,"AMETHYST","day",59,130,NA,NA,"receiver"
2024-06-11,2024-06-11 07:10:29,"AMETHYST","day",18,114,NA,NA,"receiver"
2024-06-11,2024-06-11 07:10:36,"AMETHYST","day",60,152,NA,NA,"receiver"
2024-06-11,2024-06-11 07:10:37,"AMETHYST","day",57,122,NA,NA,"receiver"
2024-06-11,2024-06-11 07:10:41,"AMETHYST","day",19,172,NA,NA,"receiver"
2024-06-11,2024-06-11 07:10:48,"AMETHYST","day",59,128,NA,NA,"receiver"
2024-06-11,2024-06-11 07:10:56,"AMETHYST","day",60,164,NA,NA,"receiver"
2024-06-11,2024-06-11 07:11:01,"AMETHYST","day",19,173,NA,NA,"receiver"
2024-06-11,2024-06-11 07:11:07,"AMETHYST","day",12,126,NA,NA,"receiver"
2024-06-11,2024-06-11 07:11:08,"AMETHYST","day",20,123,NA,NA,"receiver"
2024-06-11,2024-06-11 07:11:08,"AMETHYST","day",59,121,NA,NA,"receiver"
2024-06-11,2024-06-11 07:11:16,"AMETHYST","day",60,146,NA,NA,"receiver"
2024-06-11,2024-06-11 07:11:21,"AMETHYST","day",19,157,NA,NA,"receiver"
2024-06-11,2024-06-11 07:11:27,"AMETHYST","day",12,113,NA,NA,"receiver"
2024-06-11,2024-06-11 07:11:28,"AMETHYST","day",20,120,NA,NA,"receiver"
2024-06-11,2024-06-11 07:11:28,"AMETHYST","day",59,124,NA,NA,"receiver"
2024-06-11,2024-06-11 07:11:35,"AMETHYST","day",60,167,NA,NA,"receiver"
2024-06-11,2024-06-11 07:11:42,"AMETHYST","day",19,161,NA,NA,"receiver"
2024-06-11,2024-06-11 07:11:47,"AMETHYST","day",12,124,NA,NA,"receiver"
2024-06-11,2024-06-11 07:11:48,"AMETHYST","day",20,121,NA,NA,"receiver"
2024-06-11,2024-06-11 07:11:48,"AMETHYST","day",59,116,NA,NA,"receiver"
2024-06-11,2024-06-11 07:11:55,"AMETHYST","day",60,203,NA,NA,"receiver"
2024-06-11,2024-06-11 07:11:56,"AMETHYST","day",57,121,NA,NA,"receiver"
2024-06-11,2024-06-11 07:12:02,"AMETHYST","day",19,187,NA,NA,"receiver"
2024-06-11,2024-06-11 07:12:07,"AMETHYST","day",12,128,NA,NA,"receiver"
2024-06-11,2024-06-11 07:12:08,"AMETHYST","day",20,126,NA,NA,"receiver"
2024-06-11,2024-06-11 07:12:16,"AMETHYST","day",60,202,NA,NA,"receiver"
2024-06-11,2024-06-11 07:12:22,"AMETHYST","day",19,186,NA,NA,"receiver"
2024-06-11,2024-06-11 07:12:27,"AMETHYST","day",12,115,NA,NA,"receiver"
2024-06-11,2024-06-11 07:12:28,"AMETHYST","day",20,115,NA,NA,"receiver"
2024-06-11,2024-06-11 07:12:28,"AMETHYST","day",59,121,NA,NA,"receiver"
2024-06-11,2024-06-11 07:12:36,"AMETHYST","day",60,206,NA,NA,"receiver"
2024-06-11,2024-06-11 07:12:37,"AMETHYST","day",57,118,NA,NA,"receiver"
2024-06-11,2024-06-11 07:12:42,"AMETHYST","day",19,187,NA,NA,"receiver"
2024-06-11,2024-06-11 07:12:48,"AMETHYST","day",59,116,NA,NA,"receiver"
2024-06-11,2024-06-11 07:12:56,"AMETHYST","day",60,160,NA,NA,"receiver"
2024-06-11,2024-06-11 07:13:02,"AMETHYST","day",19,145,NA,NA,"receiver"
2024-06-11,2024-06-11 07:13:08,"AMETHYST","day",59,113,NA,NA,"receiver"
2024-06-11,2024-06-11 07:13:15,"AMETHYST","day",60,154,NA,NA,"receiver"
2024-06-11,2024-06-11 07:13:22,"AMETHYST","day",19,142,NA,NA,"receiver"
2024-06-11,2024-06-11 07:13:28,"AMETHYST","day",59,114,NA,NA,"receiver"
2024-06-11,2024-06-11 07:13:36,"AMETHYST","day",60,182,NA,NA,"receiver"
2024-06-11,2024-06-11 07:13:37,"AMETHYST","day",57,103,NA,NA,"receiver"
2024-06-11,2024-06-11 07:13:42,"AMETHYST","day",19,158,NA,NA,"receiver"
2024-06-11,2024-06-11 07:13:47,"AMETHYST","day",59,112,NA,NA,"receiver"
2024-06-11,2024-06-11 07:13:56,"AMETHYST","day",60,184,NA,NA,"receiver"
2024-06-11,2024-06-11 07:13:57,"AMETHYST","day",57,106,NA,NA,"receiver"
2024-06-11,2024-06-11 07:14:02,"AMETHYST","day",19,157,NA,NA,"receiver"
2024-06-11,2024-06-11 07:14:07,"AMETHYST","day",59,112,NA,NA,"receiver"
2024-06-11,2024-06-11 07:14:16,"AMETHYST","day",60,165,NA,NA,"receiver"
2024-06-11,2024-06-11 07:14:22,"AMETHYST","day",19,166,NA,NA,"receiver"
2024-06-11,2024-06-11 07:14:36,"AMETHYST","day",60,189,NA,NA,"receiver"
2024-06-11,2024-06-11 07:14:42,"AMETHYST","day",19,151,NA,NA,"receiver"
2024-06-11,2024-06-11 07:14:56,"AMETHYST","day",60,165,NA,NA,"receiver"
2024-06-11,2024-06-11 07:15:02,"AMETHYST","day",19,154,NA,NA,"receiver"
2024-06-11,2024-06-11 07:15:07,"AMETHYST","day",12,112,NA,NA,"receiver"
2024-06-11,2024-06-11 07:15:08,"AMETHYST","day",20,113,NA,NA,"receiver"
2024-06-11,2024-06-11 07:15:08,"AMETHYST","day",59,128,NA,NA,"receiver"
2024-06-11,2024-06-11 07:15:09,"AMETHYST","day",18,127,NA,NA,"receiver"
2024-06-11,2024-06-11 07:15:22,"AMETHYST","day",19,200,NA,NA,"receiver"
2024-06-11,2024-06-11 07:15:27,"AMETHYST","day",12,114,NA,NA,"receiver"
2024-06-11,2024-06-11 07:15:28,"AMETHYST","day",20,127,NA,NA,"receiver"
2024-06-11,2024-06-11 07:15:28,"AMETHYST","day",59,131,NA,NA,"receiver"
2024-06-11,2024-06-11 07:15:29,"AMETHYST","day",18,120,NA,NA,"receiver"
2024-06-11,2024-06-11 07:15:36,"AMETHYST","day",60,170,NA,NA,"receiver"
2024-06-11,2024-06-11 07:15:37,"AMETHYST","day",57,110,NA,NA,"receiver"
2024-06-11,2024-06-11 07:15:42,"AMETHYST","day",19,199,NA,NA,"receiver"
2024-06-11,2024-06-11 07:15:47,"AMETHYST","day",12,121,NA,NA,"receiver"
2024-06-11,2024-06-11 07:15:48,"AMETHYST","day",20,129,NA,NA,"receiver"
2024-06-11,2024-06-11 07:15:48,"AMETHYST","day",59,136,NA,NA,"receiver"
