"trackedTime_EST","radioID","has_matching_receiver"
2024-06-28 19:30:00,"26",TRUE
2024-06-28 19:31:00,"37",TRUE
2024-06-28 19:35:00,"38",TRUE
2024-06-28 20:17:00,"31",TRUE
2024-06-28 20:22:00,"28",TRUE
2024-06-28 20:24:00,"32",TRUE
2024-06-28 20:26:00,"26",TRUE
2024-06-28 20:28:00,"37",TRUE
2024-06-28 20:33:00,"38",TRUE
2024-06-28 21:19:00,"31",TRUE
2024-06-28 21:22:00,"28",TRUE
2024-06-28 21:26:00,"32",TRUE
2024-06-28 21:29:00,"26",TRUE
2024-06-28 21:31:00,"37",TRUE
2024-06-28 21:36:00,"38",TRUE
2024-06-28 22:14:00,"31",TRUE
2024-06-28 22:17:00,"28",TRUE
2024-06-28 22:19:00,"32",TRUE
2024-06-28 22:21:00,"26",TRUE
2024-06-28 22:26:00,"37",TRUE
2024-06-28 22:30:00,"38",TRUE
2024-06-30 04:39:00,"22",TRUE
2024-06-30 04:42:00,"16",TRUE
2024-06-30 04:43:00,"55",TRUE
2024-06-30 04:50:00,"21",TRUE
2024-06-30 04:51:00,"25",TRUE
2024-06-30 04:51:00,"24",TRUE
2024-06-30 04:53:00,"54",TRUE
2024-06-30 04:55:00,"48",TRUE
2024-06-30 05:00:00,"42",TRUE
2024-06-30 05:06:00,"49",TRUE
2024-06-30 05:52:00,"53",TRUE
2024-06-30 06:00:00,"42",TRUE
2024-06-30 06:02:00,"49",TRUE
2024-06-30 06:09:00,"48",TRUE
2024-06-30 06:12:00,"54",TRUE
2024-06-30 06:16:00,"21",TRUE
2024-06-30 06:17:00,"24",TRUE
2024-06-30 06:26:00,"25",TRUE
2024-06-30 06:30:00,"55",TRUE
2024-06-30 06:32:00,"16",TRUE
2024-06-30 06:34:00,"22",TRUE
2024-06-30 07:10:00,"22",TRUE
2024-06-30 07:14:00,"55",TRUE
2024-06-30 07:15:00,"16",TRUE
2024-06-30 07:20:00,"25",TRUE
2024-06-30 07:25:00,"24",TRUE
2024-06-30 07:26:00,"21",TRUE
2024-06-30 07:36:00,"54",TRUE
2024-06-30 07:39:00,"48",TRUE
2024-06-30 07:45:00,"49",TRUE
2024-06-30 07:46:00,"42",TRUE
2024-06-30 08:18:00,"22",TRUE
2024-06-30 08:21:00,"16",TRUE
2024-06-30 08:29:00,"55",TRUE
2024-06-30 08:34:00,"24",TRUE
2024-06-30 08:34:00,"21",TRUE
2024-06-30 08:35:00,"25",TRUE
2024-06-30 08:39:00,"54",TRUE
2024-06-30 08:41:00,"48",TRUE
2024-06-30 08:47:00,"42",TRUE
2024-06-30 08:48:00,"49",TRUE
2024-06-30 13:37:00,"22",TRUE
2024-06-30 13:38:00,"55",TRUE
2024-06-30 13:42:00,"16",TRUE
2024-06-30 13:47:00,"21",TRUE
2024-06-30 13:47:00,"24",TRUE
2024-06-30 13:48:00,"25",TRUE
2024-06-30 13:50:00,"54",TRUE
2024-06-30 13:54:00,"48",TRUE
2024-06-30 13:59:00,"42",TRUE
2024-06-30 14:00:00,"49",TRUE
2024-06-30 15:15:00,"22",TRUE
2024-06-30 15:20:00,"16",TRUE
2024-06-30 15:23:00,"55",TRUE
2024-06-30 15:28:00,"21",TRUE
2024-06-30 15:30:00,"24",TRUE
2024-06-30 15:31:00,"25",TRUE
2024-06-30 16:50:00,"54",TRUE
2024-06-30 16:53:00,"48",TRUE
2024-06-30 17:01:00,"49",TRUE
2024-06-30 17:03:00,"42",TRUE
2024-06-30 18:09:00,"53",TRUE
2024-06-30 18:29:00,"49",TRUE
2024-06-30 18:30:00,"42",TRUE
2024-06-30 18:37:00,"48",TRUE
2024-06-30 18:41:00,"54",TRUE
2024-06-30 18:45:00,"25",TRUE
2024-06-30 18:49:00,"24",TRUE
2024-06-30 18:55:00,"16",TRUE
2024-06-30 18:56:00,"55",TRUE
2024-06-30 18:57:00,"22",TRUE
2024-07-01 03:51:00,"31",TRUE
2024-07-01 03:56:00,"28",TRUE
2024-07-01 04:10:00,"32",TRUE
2024-07-01 04:13:00,"26",TRUE
2024-07-01 04:15:00,"37",TRUE
2024-07-01 04:49:00,"38",TRUE
2024-07-01 05:10:00,"31",TRUE
2024-07-01 05:14:00,"28",TRUE
2024-07-01 05:19:00,"32",TRUE
2024-07-01 05:22:00,"26",TRUE
2024-07-01 05:23:00,"37",TRUE
2024-07-01 05:35:00,"38",TRUE
2024-07-01 06:07:00,"31",TRUE
2024-07-01 06:15:00,"32",TRUE
2024-07-01 06:18:00,"26",TRUE
2024-07-01 06:20:00,"37",TRUE
2024-07-01 06:31:00,"38",TRUE
2024-07-01 07:04:00,"31",TRUE
2024-07-01 07:25:00,"26",TRUE
2024-07-01 07:26:00,"37",TRUE
2024-07-01 07:29:00,"32",TRUE
