"date","trackedTime_EST","river","shift","radioID","power","status","habitat","habitatExtra","position","substrate","substrateExtra","shade","lon","lat","fishNotes","source"
"2024-07-09","2024-07-09 18:56:00","UNDERHILL","night",33,NA,"","Glide","","Left",NA,"Rock","Night",-72.32635967,42.44542617,"","iPad"
"2024-07-10","2024-07-10 07:27:00","DICKEY","day",31,NA,"","Glide","","Center",NA,"Rock","Fully shaded",-72.37129933,42.44407283,"","iPad"
"2024-07-10","2024-07-10 07:42:00","DICKEY","day",28,NA,"","Glide","","Left",NA,"Rock","Fully shaded",-72.37028667,42.4436705,"This is fish 28","iPad"
"2024-07-10","2024-07-10 07:47:00","DICKEY","day",26,NA,"","Glide","","Right",NA,"Rock","Fully shaded",-72.37026583,42.44362483,"","iPad"
"2024-07-10","2024-07-10 07:48:00","DICKEY","day",37,NA,"","Glide","","Left",NA,"","Fully shaded",-72.37028217,42.44365733,"","iPad"
"2024-07-10","2024-07-10 07:53:00","DICKEY","day",38,NA,"","Glide","","Center",NA,"Rock","Fully shaded",-72.36994917,42.44288367,"","iPad"
"2024-07-10","2024-07-10 08:02:00","DICKEY","day",28,NA,"","Glide","","Left",NA,"Rock","",-72.370641,42.4437355,"Fish 28 actually","iPad"
"2024-07-10","2024-07-10 08:57:00","DICKEY","day",28,NA,"","Glide","","Center",NA,"Pebble,Rock","Fully shaded",-72.370635,42.44372967,"Actually 28","iPad"
"2024-07-10","2024-07-10 08:58:00","DICKEY","day",37,NA,"","Glide","","Center",NA,"Rock","Fully shaded",-72.37026117,42.44348417,"","iPad"
"2024-07-10","2024-07-10 09:09:00","DICKEY","day",26,NA,"","Glide","","Right",NA,"Rock","Fully shaded",-72.37023233,42.4439145,"","iPad"
"2024-07-10","2024-07-10 09:15:00","DICKEY","day",38,NA,"","Glide","","Center",NA,"Rock","Fully shaded",-72.36997517,42.44315117,"","iPad"
"2024-07-10","2024-07-10 09:42:00","DICKEY","day",31,185,"","Glide","","Left",NA,"Rock","Fully shaded",-72.37129517,42.44402517,"Moving around","iPad"
"2024-07-10","2024-07-10 11:06:00","DICKEY","day",31,NA,"","Riffle","","Right",NA,"Pebble,Rock","Lightly shaded",-72.371394,42.44401217,"","iPad"
"2024-07-10","2024-07-10 11:09:00","DICKEY","day",28,NA,"","Pool","Undercut_bank","Center",NA,"Pebble","Lightly shaded",-72.370429,42.44376283,"Fish 28 no 28 available in choices.","iPad"
"2024-07-10","2024-07-10 11:10:00","DICKEY","day",26,NA,"","Run","","Center",NA,"Pebble","Mostly shaded",-72.37042883,42.4437065,"","iPad"
"2024-07-10","2024-07-10 11:10:00","DICKEY","day",37,NA,"","Pool","","Center",NA,"Rock","Mostly shaded",-72.37034967,42.4437,"","iPad"
"2024-07-10","2024-07-10 11:12:00","DICKEY","day",38,NA,"","Pool","Undercut_bank","Left",NA,"Granule","Mostly shaded",-72.37009917,42.44305533,"","iPad"
"2024-07-10","2024-07-10 12:22:00","DICKEY","day",37,NA,"","Run","","Right",NA,"Rock","Fully sunny",-72.3703485,42.443522,"","iPad"
"2024-07-10","2024-07-10 12:23:00","DICKEY","day",26,NA,"","Riffle","","Center",NA,"Rock","Fully shaded",-72.37037067,42.4436115,"","iPad"
"2024-07-10","2024-07-10 12:27:00","DICKEY","day",38,NA,"","Pool","Undercut_bank","Left",NA,"Mud,Sand,Rock,Pebble","",-72.370102,42.4429875,"","iPad"
"2024-07-10","2024-07-10 12:34:00","DICKEY","day",31,NA,"","Riffle","","Right",NA,"Rock","Fully sunny",-72.371356,42.44397033,"","iPad"
"2024-07-10","2024-07-10 17:20:00","DICKEY","night",31,NA,"","Riffle","","Right",NA,"Pebble,Rock","Mostly shaded",-72.37122033,42.44405583,"","iPad"
"2024-07-10","2024-07-10 17:23:00","DICKEY","night",28,NA,"","Pool","","Right",NA,"Pebble,Sand","Mostly shaded",-72.3706165,42.443653,"","iPad"
"2024-07-10","2024-07-10 17:25:00","DICKEY","night",26,NA,"","Run","","Center",NA,"Rock","Mostly shaded",-72.3703045,42.44364817,"","iPad"
"2024-07-10","2024-07-10 17:26:00","DICKEY","night",37,NA,"","Pool","","Center",NA,"Rock,Pebble","Fully shaded",-72.3703955,42.4435345,"","iPad"
"2024-07-10","2024-07-10 17:32:00","DICKEY","night",38,NA,"","Pool","Root_bundle","Left",NA,"Rock,Mud","Fully shaded",-72.369991,42.44303917,"","iPad"
"2024-07-10","2024-07-10 18:16:00","DICKEY","night",32,NA,"","Run","","Left",NA,"Pebble,Rock","Mostly shaded",-72.37351133,42.44399267,"","iPad"
"2024-07-10","2024-07-10 18:34:00","DICKEY","night",31,NA,"","Glide","","Right",NA,"Rock","Fully shaded",-72.37110017,42.443997,"","iPad"
"2024-07-10","2024-07-10 18:37:00","DICKEY","night",28,NA,"","Pool","","Right",NA,"Pebble,Rock","Mostly shaded",-72.37061383,42.4436275,"Still in the same spot presumed dead.","iPad"
"2024-07-10","2024-07-10 18:42:00","DICKEY","night",26,NA,"","Run","","Center",NA,"Rock","Fully shaded",-72.37036233,42.44360333,"","iPad"
"2024-07-10","2024-07-10 18:43:00","DICKEY","night",37,NA,"","Pool","","Center",NA,"Rock,Boulder","Fully shaded",-72.3703105,42.44351917,"","iPad"
"2024-07-10","2024-07-10 18:51:00","DICKEY","night",38,NA,"","Pool","","Left",NA,"Rock,Mud","Fully shaded",-72.36988433,42.44318967,"","iPad"
"2024-07-10","2024-07-10 19:07:00","DICKEY","night",32,NA,"","Pool","","Left",NA,"Pebble,Rock","Fully shaded",-72.37338333,42.443966,"","iPad"
"2024-07-10","2024-07-10 19:38:00","DICKEY","night",31,NA,"","Glide","","Right",NA,"Rock","Night",-72.371039,42.44390417,"","iPad"
"2024-07-10","2024-07-10 19:44:00","DICKEY","night",28,NA,"","Pool","","Right",NA,"Pebble","Night",-72.37056233,42.443673,"","iPad"
"2024-07-10","2024-07-10 19:57:00","DICKEY","night",26,NA,"","Run","","Center",NA,"Rock","Night",-72.370348,42.44361733,"","iPad"
"2024-07-10","2024-07-10 20:00:00","DICKEY","night",37,NA,"","Riffle","","Center",NA,"Rock,Pebble","Night",-72.370233,42.44345117,"","iPad"
"2024-07-10","2024-07-10 20:03:00","DICKEY","night",38,NA,"","Run","Root_bundle","Left",NA,"Rock","Night",-72.36995433,42.44297033,"","iPad"
"2024-07-10","2024-07-10 20:19:00","DICKEY","night",32,NA,"","Run","","Left",NA,"Rock,Pebble","Night",-72.3734335,42.44397583,"","iPad"
"2024-07-10","2024-07-10 21:26:00","DICKEY","night",32,189,"","Run","","Center",NA,"Pebble,Rock","Night",-72.3733585,42.44392483,"","iPad"
"2024-07-10","2024-07-10 21:42:00","DICKEY","night",31,NA,"","Riffle","","Center",NA,"Rock,Pebble","Night",-72.37121617,42.44399617,"","iPad"
"2024-07-10","2024-07-10 21:47:00","DICKEY","night",28,NA,"","Pool","","Center",NA,"Rock,Pebble","Night",-72.37066567,42.44368667,"","iPad"
"2024-07-10","2024-07-10 21:49:00","DICKEY","night",26,NA,"","Run","","Center",NA,"Rock,Boulder","Night",-72.37029833,42.44350817,"","iPad"
"2024-07-10","2024-07-10 21:51:00","DICKEY","night",37,NA,"","Run","","Center",NA,"Rock,Boulder","Night",-72.37025817,42.44358183,"","iPad"
"2024-07-10","2024-07-10 21:58:00","DICKEY","night",38,NA,"","Run","","Left",NA,"Rock,Boulder,Sand","Night",-72.36986617,42.44301383,"","iPad"
"2024-07-10","2024-07-10 22:28:00","DICKEY","night",31,NA,"","Run","","Right",NA,"Rock,Pebble","Night",-72.37117017,42.44398233,"","iPad"
"2024-07-10","2024-07-10 22:32:00","DICKEY","night",28,NA,"","Pool","","Center",NA,"Rock,Pebble","Night",-72.37069017,42.44375483,"","iPad"
"2024-07-10","2024-07-10 22:34:00","DICKEY","night",26,NA,"","Run","","Center",NA,"Rock","Night",-72.37038117,42.4436205,"","iPad"
"2024-07-10","2024-07-10 22:35:00","DICKEY","night",37,NA,"","Pool","","Left",NA,"Sand,Rock","Night",-72.3703345,42.44363217,"","iPad"
"2024-07-10","2024-07-10 22:39:00","DICKEY","night",38,NA,"","Run","","Left",NA,"Sand,Rock","Night",-72.3699515,42.44306567,"","iPad"
"2024-07-11","2024-07-11 07:46:00","BUFFAM","day",60,NA,"","Glide","","Center",NA,"Rock","Fully shaded",-72.4583295,42.38203183,"","iPad"
"2024-07-11","2024-07-11 08:02:00","BUFFAM","day",56,NA,"","Pool","","Right",NA,"Boulder,Rock","Fully shaded",-72.45975517,42.381195,"","iPad"
"2024-07-11","2024-07-11 08:02:00","BUFFAM","day",57,NA,"","Pool","","Right",NA,"Rock","Fully shaded",-72.4598425,42.38120833,"","iPad"
"2024-07-11","2024-07-11 08:05:00","BUFFAM","day",62,NA,"","Riffle","","Center",NA,"Rock","Fully shaded",-72.459736,42.38125717,"","iPad"
"2024-07-11","2024-07-11 08:07:00","BUFFAM","day",18,NA,"","Riffle","","Center",NA,"Rock","Fully shaded",-72.4599645,42.38113317,"","iPad"
"2024-07-11","2024-07-11 08:08:00","BUFFAM","day",19,NA,"","Riffle","","Center",NA,"Rock","Fully shaded",-72.45997767,42.38114783,"","iPad"
"2024-07-11","2024-07-11 08:08:00","BUFFAM","day",14,NA,"","Riffle","","Left",NA,"Rock","Fully shaded",-72.45996867,42.38123317,"","iPad"
"2024-07-11","2024-07-11 08:12:00","HARRIS","day",20,NA,"","Run","","Center",NA,"Boulder","Fully shaded",-72.46021283,42.38102067,"","iPad"
"2024-07-11","2024-07-11 09:27:00","BUFFAM","day",60,NA,"","Riffle","","Center",NA,"Boulder","Fully shaded",-72.45847483,42.38209633,"","iPad"
"2024-07-11","2024-07-11 09:32:00","BUFFAM","day",62,NA,"","Pool","","Center",NA,"Boulder","Fully shaded",-72.45983983,42.3812335,"","iPad"
"2024-07-11","2024-07-11 09:33:00","BUFFAM","day",56,NA,"","Pool","","Center",NA,"Boulder","Fully shaded",-72.45983583,42.38129367,"","iPad"
"2024-07-11","2024-07-11 09:33:00","BUFFAM","day",57,NA,"","Pool","","Center",NA,"Boulder","Fully shaded",-72.45984817,42.38127217,"","iPad"
"2024-07-11","2024-07-11 09:34:00","BUFFAM","day",18,NA,"","Riffle","","Right",NA,"Rock","Fully shaded",-72.45988867,42.3811935,"","iPad"
"2024-07-11","2024-07-11 09:34:00","BUFFAM","day",19,NA,"","Riffle","","",NA,"Rock","Fully shaded",-72.45994617,42.38119267,"","iPad"
"2024-07-11","2024-07-11 09:35:00","BUFFAM","day",14,NA,"","Riffle","","Left",NA,"Rock","Mostly shaded",-72.45999767,42.381233,"","iPad"
"2024-07-11","2024-07-11 09:36:00","HARRIS","day",20,NA,"","Run","","Center",NA,"Rock","Mostly shaded",-72.4603595,42.38107133,"","iPad"
"2024-07-11","2024-07-11 10:37:00","BUFFAM","day",60,NA,"","Run","","Center",NA,"Rock,Granule","Mostly shaded",-72.45858483,42.38201133,"","iPad"
"2024-07-11","2024-07-11 11:04:00","BUFFAM","day",56,NA,"","Pool","","Center",NA,"Rock","Fully shaded",-72.45975883,42.38113467,"","iPad"
"2024-07-11","2024-07-11 11:05:00","BUFFAM","day",62,NA,"","Pool","","Center",NA,"Rock","Fully shaded",-72.459779,42.38112367,"","iPad"
"2024-07-11","2024-07-11 11:08:00","BUFFAM","day",57,NA,"","Pool","","Center",NA,"Rock","Fully shaded",-72.4597575,42.38118767,"","iPad"
"2024-07-11","2024-07-11 11:09:00","BUFFAM","day",18,NA,"","Run","","Center",NA,"Rock","Fully shaded",-72.4599165,42.38128033,"","iPad"
"2024-07-11","2024-07-11 11:09:00","BUFFAM","day",19,NA,"","Run","","Center",NA,"Rock","Lightly shaded",-72.459939,42.38130583,"","iPad"
"2024-07-11","2024-07-11 11:11:00","BUFFAM","day",14,NA,"","Run","","Center",NA,"Rock","Mostly shaded",-72.45990383,42.38132367,"","iPad"
"2024-07-11","2024-07-11 11:15:00","HARRIS","day",20,NA,"","Pool","","Center",NA,"Rock","Fully shaded",-72.46038,42.38150733,"","iPad"
"2024-07-11","2024-07-11 11:59:00","BUFFAM","day",57,NA,"","Pool","","Center",NA,"Rock","Lightly shaded",-72.4597025,42.38109267,"","iPad"
"2024-07-11","2024-07-11 12:00:00","BUFFAM","day",62,NA,"","Pool","","Center",NA,"Rock","Lightly shaded",-72.45968217,42.38102833,"","iPad"
"2024-07-11","2024-07-11 12:08:00","BUFFAM","day",56,NA,"","Pool","","Center",NA,"Rock,Sand","Mostly shaded",-72.45972583,42.38125333,"","iPad"
"2024-07-11","2024-07-11 12:14:00","BUFFAM","day",18,NA,"","Run","","Left",NA,"Rock","Fully shaded",-72.460054,42.38126267,"","iPad"
"2024-07-11","2024-07-11 12:16:00","BUFFAM","day",14,NA,"","Run","","Center",NA,"Rock","Mostly shaded",-72.45984317,42.38137617,"","iPad"
"2024-07-11","2024-07-11 12:17:00","BUFFAM","day",19,NA,"","Run","","Center",NA,"Rock","Fully shaded",-72.45983783,42.38127167,"","iPad"
"2024-07-11","2024-07-11 12:20:00","HARRIS","day",20,NA,"","Run","","Center",NA,"Rock","Fully shaded",-72.46024283,42.38141583,"","iPad"
"2024-07-11","2024-07-11 12:24:00","BUFFAM","day",60,NA,"","Riffle","","Center",NA,"Rock,Boulder","Fully shaded",-72.45842,42.38199083,"","iPad"
"2024-07-11","2024-07-11 17:31:00","BUFFAM","night",60,NA,"","Pool","","Left",NA,"Sand,Rock","Fully shaded",-72.45847633,42.38207383,"","iPad"
"2024-07-11","2024-07-11 17:36:00","BUFFAM","night",62,NA,"","Riffle","","Right",NA,"Rock","Fully shaded",-72.45967683,42.38106433,"","iPad"
"2024-07-11","2024-07-11 17:38:00","BUFFAM","night",56,NA,"","Pool","","Center",NA,"Sand,Boulder","Fully shaded",-72.45965683,42.3810135,"","iPad"
"2024-07-11","2024-07-11 17:39:00","BUFFAM","night",57,NA,"","Pool","","Center",NA,"Sand,Boulder","Fully shaded",-72.45970367,42.3811015,"","iPad"
"2024-07-11","2024-07-11 17:42:00","BUFFAM","night",19,NA,"","Pool","","Right",NA,"Sand,Boulder","Fully shaded",-72.45987867,42.38126917,"","iPad"
"2024-07-11","2024-07-11 17:43:00","BUFFAM","night",18,NA,"","Pool","","Center",NA,"Rock,Boulder","Fully shaded",-72.45995267,42.38126117,"","iPad"
"2024-07-11","2024-07-11 17:44:00","BUFFAM","night",14,NA,"","Riffle","","Center",NA,"Rock,Boulder","Fully shaded",-72.460032,42.38128217,"","iPad"
"2024-07-11","2024-07-11 17:47:00","HARRIS","night",20,NA,"","Glide","","Left",NA,"Boulder","Fully shaded",-72.46022567,42.38121717,"","iPad"
"2024-07-11","2024-07-11 18:27:00","BUFFAM","night",60,NA,"","Pool","","Left",NA,"Sand,Boulder","Fully shaded",-72.458446,42.38216567,"","iPad"
"2024-07-11","2024-07-11 18:35:00","BUFFAM","night",19,NA,"","Pool","","Right",NA,"Boulder,Pebble","Fully shaded",-72.4599265,42.381274,"","iPad"
"2024-07-11","2024-07-11 18:36:00","BUFFAM","night",18,NA,"","Pool","","Right",NA,"Boulder","Fully shaded",-72.45992183,42.38125817,"","iPad"
"2024-07-11","2024-07-11 18:37:00","BUFFAM","night",14,NA,"","Riffle","","Center",NA,"Rock,Boulder","Fully shaded",-72.45995117,42.38128017,"","iPad"
"2024-07-11","2024-07-11 18:39:00","HARRIS","night",20,NA,"","Glide","","Left",NA,"Boulder","",-72.460272,42.38115267,"","iPad"
"2024-07-11","2024-07-11 18:43:00","BUFFAM","night",57,NA,"","Pool","","Center",NA,"Sand,Boulder","Fully shaded",-72.45960283,42.38120817,"","iPad"
"2024-07-11","2024-07-11 18:43:00","BUFFAM","night",56,NA,"","Pool","","Center",NA,"Sand,Boulder","Fully shaded",-72.45961333,42.38115267,"","iPad"
"2024-07-11","2024-07-11 18:44:00","BUFFAM","night",62,NA,"","Pool","","Right",NA,"Sand,Rock,Boulder","Fully shaded",-72.45969083,42.38109833,"","iPad"
"2024-07-11","2024-07-11 19:12:00","BUFFAM","night",60,NA,"","Pool","","Center",NA,"Rock,Boulder","Night",-72.4584955,42.38214233,"","iPad"
"2024-07-11","2024-07-11 19:19:00","BUFFAM","night",56,NA,"","Run","","Right",NA,"Sand,Rock","Night",-72.45967617,42.38101483,"","iPad"
"2024-07-11","2024-07-11 19:25:00","BUFFAM","night",62,NA,"","Glide","","Right",NA,"Rock","Night",-72.45966167,42.38114683,"","iPad"
"2024-07-11","2024-07-11 19:26:00","BUFFAM","night",57,NA,"","Pool","","Center",NA,"Sand,Rock","Night",-72.45973317,42.38115833,"","iPad"
"2024-07-11","2024-07-11 19:28:00","BUFFAM","night",19,NA,"","Pool","","Right",NA,"Rock,Sand","Night",-72.459895,42.381253,"","iPad"
"2024-07-11","2024-07-11 19:29:00","BUFFAM","night",18,NA,"","Pool","","Right",NA,"Rock,Boulder","Night",-72.4598405,42.38125167,"","iPad"
"2024-07-11","2024-07-11 19:30:00","BUFFAM","night",14,NA,"","Riffle","","Center",NA,"Rock,Boulder","Night",-72.45997933,42.38128867,"","iPad"
"2024-07-11","2024-07-11 19:32:00","HARRIS","night",20,NA,"","Pool","","Left",NA,"Rock","Night",-72.4602155,42.38107,"","iPad"
"2024-07-11","2024-07-11 20:09:00","BUFFAM","night",60,NA,"","Run","","Center",NA,"Boulder,Sand","Night",-72.4585,42.38204767,"","iPad"
"2024-07-11","2024-07-11 20:15:00","BUFFAM","night",56,NA,"","Pool","","Center",NA,"Sand,Rock","Night",-72.4596495,42.3813395,"","iPad"
"2024-07-11","2024-07-11 20:20:00","BUFFAM","night",62,NA,"","Pool","","Left",NA,"Sand,Pebble","Night",-72.45963383,42.38108867,"","iPad"
"2024-07-11","2024-07-11 20:22:00","BUFFAM","night",57,NA,"","Pool","","Center",NA,"Sand,Rock","Night",-72.45966367,42.38127783,"","iPad"
"2024-07-11","2024-07-11 20:26:00","BUFFAM","night",18,NA,"","Pool","","Right",NA,"Sand,Granule","Night",-72.45987833,42.3813865,"","iPad"
"2024-07-11","2024-07-11 20:30:00","BUFFAM","night",14,NA,"","Riffle","","Right",NA,"Boulder,Pebble","Night",-72.45998533,42.3813815,"","iPad"
"2024-07-11","2024-07-11 20:31:00","BUFFAM","night",19,NA,"","Riffle","","Right",NA,"Boulder,Pebble","Night",-72.45990417,42.38135633,"","iPad"
"2024-07-11","2024-07-11 20:34:00","HARRIS","night",20,NA,"","Riffle","","Left",NA,"Boulder","Night",-72.46017683,42.38127033,"","iPad"
"2024-07-11","2024-07-11 21:11:00","BUFFAM","night",60,NA,"","Run","","Right",NA,"Sand,Rock","Night",-72.45853,42.3821365,"","iPad"
"2024-07-11","2024-07-11 21:17:00","BUFFAM","night",56,NA,"","Pool","","Center",NA,"Rock,Boulder","Night",-72.45964667,42.3811325,"","iPad"
"2024-07-11","2024-07-11 21:27:00","BUFFAM","night",62,NA,"","Pool","","Center",NA,"Sand,Rock","Night",-72.45969117,42.38106517,"","iPad"
"2024-07-11","2024-07-11 21:32:00","BUFFAM","night",57,NA,"","Pool","","Left",NA,"Sand,Rock","Night",-72.45971367,42.381148,"","iPad"
"2024-07-11","2024-07-11 21:38:00","BUFFAM","night",18,NA,"","Pool","","Right",NA,"Rock,Boulder","Night",-72.45995017,42.38135283,"","iPad"
"2024-07-11","2024-07-11 21:39:00","BUFFAM","night",14,NA,"","Riffle","","Left",NA,"Rock,Boulder","Night",-72.45994567,42.38139533,"","iPad"
"2024-07-11","2024-07-11 21:40:00","BUFFAM","night",19,NA,"","Riffle","","Right",NA,"Boulder","Night",-72.45997183,42.38135917,"","iPad"
"2024-07-11","2024-07-11 21:44:00","HARRIS","night",20,NA,"","Pool","","Left",NA,"Boulder","Night",-72.4604365,42.381156,"","iPad"
"2024-07-11","2024-07-11 22:10:00","BUFFAM","night",62,NA,"","Riffle","","Right",NA,"Rock,Boulder,Sand","Night",-72.45851183,42.38208483,"","iPad"
"2024-07-11","2024-07-11 22:16:00","BUFFAM","night",57,NA,"","Pool","","Center",NA,"Sand,Rock","",-72.4596755,42.38115767,"","iPad"
"2024-07-11","2024-07-11 22:18:00","BUFFAM","night",62,NA,"","Pool","","Center",NA,"Sand,Rock","Night",-72.45960767,42.38143417,"","iPad"
"2024-07-11","2024-07-11 22:21:00","BUFFAM","night",56,NA,"","Pool","","Center",NA,"Sand","Night",-72.45962317,42.38116933,"","iPad"
"2024-07-11","2024-07-11 22:23:00","BUFFAM","night",14,NA,"","Pool","","Right",NA,"Boulder","Night",-72.4599235,42.38134767,"","iPad"
"2024-07-11","2024-07-11 22:24:00","BUFFAM","night",18,NA,"","Pool","","Right",NA,"Boulder","Night",-72.45989033,42.38126117,"","iPad"
"2024-07-11","2024-07-11 22:25:00","BUFFAM","night",19,NA,"","Riffle","","Center",NA,"Rock,Pebble","Night",-72.45991417,42.3813435,"","iPad"
"2024-07-11","2024-07-11 22:27:00","HARRIS","night",20,NA,"","Riffle","","Left",NA,"Boulder","Night",-72.46042467,42.3811805,"","iPad"
"2024-07-12","2024-07-12 08:01:00","DRY UPPER","day",55,195,"","Pool","Woody_debris","Center",NA,"Mud","Fully shaded",-72.50452667,42.667652,"","iPad"
"2024-07-12","2024-07-12 08:13:00","DRY UPPER","day",16,175,"","Pool","Woody_debris","Center",NA,"Mud","Fully shaded",-72.50451633,42.6675785,"Highest signal I could receive after 10 minutes in the area","iPad"
"2024-07-12","2024-07-12 08:25:00","DRY UPPER","day",21,207,"","Pool","Root_bundle","Right",NA,"Rock","Mostly shaded",-72.50490333,42.6671115,"","iPad"
"2024-07-12","2024-07-12 08:28:00","DRY UPPER","day",24,204,"","Run","","Right",NA,"Rock","Mostly shaded",-72.5049195,42.6671485,"Riffle and run flowing into pool","iPad"
"2024-07-12","2024-07-12 08:36:00","DRY UPPER","day",48,196,"","Pool","Woody_debris","Center",NA,"Mud","Fully shaded",-72.5048945,42.66677617,"","iPad"
