"date","trackedTime_EST","river","shift","radioID","power","status","habitat","habitatExtra","position","substrate","substrateExtra","shade","lon","lat","fishNotes","source","ftDischarge_cfs","ftTime_EST","airTemp_F","cloud","precip","startTime_EST","endTime_EST","isoID","streamNotes","isoTime_EST","downstreamGPS","downstreamGain","upstreamGPS","upstreamGain"
"2024-07-23","2024-07-23 18:11:00","DRY UPPER","night",30.1,NA,"","Pool","Woody_debris","Center",NA,"Mud,Pebble,Rock","Fully shaded",-72.50506967,42.66825083,"","iPad",0.16,"2024-07-23 18:09:40",71,"Cloudy","No rain","17:13","22:43","DRYU202407231815EST","There were a ton of 999/ error codes.","18:15","Lat:42.6587346 N Long: 72.50041230 W",75,"Lat: 42.6688091 N Long: 72.5076269 W",80
"2024-07-23","2024-07-23 18:16:00","DRY UPPER","night",29.1,NA,"","Pool","Woody_debris","Center",NA,"Mud","Fully shaded",-72.506004,42.66841967,"","iPad",0.16,"2024-07-23 18:09:40",71,"Cloudy","No rain","17:13","22:43","DRYU202407231815EST","There were a ton of 999/ error codes.","18:15","Lat:42.6587346 N Long: 72.50041230 W",75,"Lat: 42.6688091 N Long: 72.5076269 W",80
"2024-07-23","2024-07-23 18:20:00","DRY UPPER","night",39.1,NA,"","Pool","Woody_debris","Center",NA,"Rock","Fully shaded",-72.506961,42.66809983,"","iPad",0.16,"2024-07-23 18:09:40",71,"Cloudy","No rain","17:13","22:43","DRYU202407231815EST","There were a ton of 999/ error codes.","18:15","Lat:42.6587346 N Long: 72.50041230 W",75,"Lat: 42.6688091 N Long: 72.5076269 W",80
"2024-07-23","2024-07-23 20:22:00","DRY UPPER","night",21,NA,"","Pool","","Center",NA,"Mud,Rock","Night",-72.504319,42.66192967,"","iPad",0.16,"2024-07-23 18:09:40",71,"Cloudy","No rain","17:13","22:43","DRYU202407231815EST","There were a ton of 999/ error codes.","18:15","Lat:42.6587346 N Long: 72.50041230 W",75,"Lat: 42.6688091 N Long: 72.5076269 W",80
"2024-07-23","2024-07-23 21:51:00","DRY UPPER","night",39.1,NA,"","Pool","Woody_debris,Undercut_bank","Right",NA,"Mud","Night",-72.50672133,42.6680295,"","iPad",0.16,"2024-07-23 18:09:40",71,"Cloudy","No rain","17:13","22:43","DRYU202407231815EST","There were a ton of 999/ error codes.","18:15","Lat:42.6587346 N Long: 72.50041230 W",75,"Lat: 42.6688091 N Long: 72.5076269 W",80
"2024-07-23","2024-07-23 21:56:00","DRY UPPER","night",29.1,NA,"","Run","Woody_debris","Center",NA,"Sand,Rock","Night",-72.5059175,42.66847633,"","iPad",0.16,"2024-07-23 18:09:40",71,"Cloudy","No rain","17:13","22:43","DRYU202407231815EST","There were a ton of 999/ error codes.","18:15","Lat:42.6587346 N Long: 72.50041230 W",75,"Lat: 42.6688091 N Long: 72.5076269 W",80
"2024-07-23","2024-07-23 22:01:00","DRY UPPER","night",30.1,NA,"","Pool","Woody_debris","Center",NA,"Mud","Night",-72.50499,42.66823333,"","iPad",0.16,"2024-07-23 18:09:40",71,"Cloudy","No rain","17:13","22:43","DRYU202407231815EST","There were a ton of 999/ error codes.","18:15","Lat:42.6587346 N Long: 72.50041230 W",75,"Lat: 42.6688091 N Long: 72.5076269 W",80
"2024-07-23","2024-07-23 22:16:00","DRY UPPER","night",16,NA,"","Pool","Woody_debris,Undercut_bank","Right",NA,"Mud","Night",-72.5045785,42.6676205,"","iPad",0.16,"2024-07-23 18:09:40",71,"Cloudy","No rain","17:13","22:43","DRYU202407231815EST","There were a ton of 999/ error codes.","18:15","Lat:42.6587346 N Long: 72.50041230 W",75,"Lat: 42.6688091 N Long: 72.5076269 W",80
"2024-07-23","2024-07-23 22:23:00","DRY UPPER","night",30.1,NA,"","Pool","Root_bundle","Left",NA,"Rock,Mud","Night",-72.50503467,42.66830017,"","iPad",0.16,"2024-07-23 18:09:40",71,"Cloudy","No rain","17:13","22:43","DRYU202407231815EST","There were a ton of 999/ error codes.","18:15","Lat:42.6587346 N Long: 72.50041230 W",75,"Lat: 42.6688091 N Long: 72.5076269 W",80
"2024-07-23","2024-07-23 22:27:00","DRY UPPER","night",29.1,NA,"","Run","Woody_debris","Center",NA,"Rock,Sand","Night",-72.50605083,42.66834267,"","iPad",0.16,"2024-07-23 18:09:40",71,"Cloudy","No rain","17:13","22:43","DRYU202407231815EST","There were a ton of 999/ error codes.","18:15","Lat:42.6587346 N Long: 72.50041230 W",75,"Lat: 42.6688091 N Long: 72.5076269 W",80
